,company_brand,founded,headquarter,sector,what_it_does,founders,investor,amount($),stage,year
2664,HealthAssure,2016,Mumbai,Consumer Staples,HealthAssure provides access to Discounted & High Quality primary care medical network.,Unknown,Venture Catalysts,1000000.0,Seed,2018
2665,Picture TIme,2016,Delhi,Consumer Discretionary,Operator of low-cost mobile cinema theatres in rural areas.,Unknown,Venture Catalysts,3662250.0,Seed,2018
2666,1Crowd,2016,Mumbai,Financials,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,Unknown,Venture Catalysts,3500000.0,Seed,2018
2667,Aarav Unmanned Systems,2016,Bengaluru,Health Care,Professional Drones for Enterprise Applications,Unknown,CIIE.CO,937536.0,Seed,2018
2668,Wellthy Therapeutics Pvt,2016,Mumbai,Consumer Staples,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",Unknown,Venture Catalysts,1977615.0,Seed,2018
2669,Nua,2016,Mumbai,Consumer Discretionary,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,Unknown,Venture Catalysts,937536.0,Seed,2018
2670,Kuvera.in,2016,Bengaluru,Financials,An online platform for mutual fund investments.,Unknown,Venture Catalysts,250000.0,Seed,2018
2671,Livehealth,2016,Pune,Consumer Staples,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,Unknown,Venture Catalysts,1100000.0,Seed,2018
2672,Gramophone,2016,Indore,Industrials,An agricultural inputs startup Company.,Unknown,Inflection Point Ventures,1000000.0,Seed,2018
2673,Ora,2016,Kolkata,Real Estate,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,Unknown,Angel investors,937536.0,Seed,2018
2674,Buddy4Study.com,2016,Noida,Consumer Discretionary,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,Unknown,Venture Catalysts,3000000.0,Early stage,2018
2675,Predible Health,2016,Bengaluru,Health Care,Healthcare devices for cancer detection,Unknown,CIIE.CO,937536.0,Seed,2018
2676,Syncremedies Healthcare Pvt,2016,Bengaluru,Health Care,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",Unknown,CIIE.CO,937536.0,Seed,2018
2677,Blueleaf Cyberspace Systems,2016,Bengaluru,Information Technology,Bluleaf Cyberspace is Cloud Based Software Company.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2678,Toffee,2016,Gurugram,Information Technology,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",Unknown,Inflection Point Ventures,1500000.0,Seed,2018
2679,ORO Wealth,2016,Mumbai,Information Technology,Online wealth management platform,Unknown,Inflection Point Ventures,1600000.0,Early stage,2018
2680,HealWell24,2016,Mumbai,Health Care,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",Unknown,CIIE.CO,200000.0,Seed,2018
2681,Acko General Insurance,2016,Mumbai,Financials,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,Unknown,Venture Catalysts,12000000.0,Early stage,2018
2682,arzooo.com,2016,Bengaluru,Consumer Discretionary,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,Unknown,Venture Catalysts,219735.0,Seed,2018
2683,Bonphul Air Products,2016,Delhi,Information Technology,A clean tech product Company,Unknown,Inflection Point Ventures,292980.0,Seed,2018
2684,DheeYantra Research Labs,2016,Bengaluru,Information Technology,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",Unknown,Inflection Point Ventures,937536.0,Seed,2018
2685,Edyoo,2016,Bengaluru,Information Technology,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",Unknown,Inflection Point Ventures,1000000.0,Seed,2018
2686,Chtrbox,2016,Mumbai,Communication Services,Chtrbox connects social media influencers with brands .,Unknown,Angel investors,146490.0,Seed,2018
2687,Aashiyaan Housing and Development Finance,2016,Kolkata,Financials,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,Unknown,Venture Catalysts,1977615.0,Seed,2018
2688,BetterPlace Safety Solutions Pvt. .,2016,Bengaluru,Information Technology,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",Unknown,Inflection Point Ventures,3000000.0,Early stage,2018
2689,Cashkumar,2016,Bengaluru,Consumer Discretionary,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,Unknown,Venture Catalysts,732450.0,Seed,2018
2690,Rocketium,2016,Bengaluru,Communication Services,Easy video creation for social media.,Unknown,Angel investors,292980.0,Seed,2018
2691,FreightBazaar,2016,Hyderabad,Industrials,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2692,OPEN,2016,Bengaluru,Financials,Open up to a new world of Banking,Unknown,Venture Catalysts,937536.0,Seed,2018
2693,MFine,2016,Bengaluru,Consumer Staples,Hospital & Health Care Start up,Unknown,Venture Catalysts,4200000.0,Early stage,2018
2694,Earth Food,2016,Pune,Consumer Staples,Earth Food is a healthy Food Start Up.,Unknown,Venture Catalysts,937536.0,Seed,2018
2695,Charcoal Eats,2016,Mumbai,Consumer Staples,Charcoal Eats aims to bring Dominos style standardisation.,Unknown,Venture Catalysts,732450.0,Seed,2018
2696,Wishfie,2016,Bengaluru,Information Technology,A platform for people to express their opinions in form of short videos around any topic.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2697,The Social Hook,2016,Bengaluru,Information Technology,Fast growing Influencer Marketing platform in India.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2698,FreightBro,2016,Mumbai,Information Technology,Software for the new-age freight,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2699,Finwego,2016,Chennai,Financials,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,Unknown,Venture Catalysts,937536.0,Seed,2018
2700,Cricnwin,2016,Gurugram,Consumer Discretionary,Cricnwin is a Gurugram - based Fan Engagement Platform,Unknown,Venture Catalysts,937536.0,Seed,2018
2702,Wicked Ride Adventure Services Private Limited,2016,Bengaluru,Financials,Peer-to-Peer motor vehicles sharing,Unknown,Venture Catalysts,10000000.0,Venture - Series Unknown,2018
2703,Career Anna,2016,Bengaluru,Consumer Discretionary,India's Go to Career Commerce Portal,Unknown,Venture Catalysts,585960.0,Seed,2018
2704,ERUDITUS Executive Education,2016,Mumbai,Information Technology,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",Unknown,Inflection Point Ventures,40000000.0,Late stage,2018
2705,Gaia Smart Cities,2016,Mumbai,Information Technology,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2706,Square Off,2016,Mumbai,Information Technology,Delivering Imagination,Unknown,Inflection Point Ventures,1100000.0,Seed,2018
2707,UrbanClap,2016,Delhi,Real Estate,UrbanClap is India's leading managed marketplace for home services.,Unknown,Angel investors,50000000.0,Late stage,2018
2708,Hospals,2016,Delhi,Health Care,Hospals is a medical tourism company.,Unknown,CIIE.CO,1500000.0,Seed,2018
2709,Kogta Financial India Limited,2016,Jaipur,Financials,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,Unknown,Venture Catalysts,22559460.0,Early stage,2018
2710,Perspectico,2016,Delhi,Information Technology,An Education Management startup.,Unknown,Inflection Point Ventures,937536.0,Seed,2018
2711,The Souled Store,2016,Mumbai,Consumer Discretionary,"The Souled Store bring to you awesome t-shirts, framed prints, badges, notebooks, coasters.",Unknown,Venture Catalysts,3000000.0,Venture - Series Unknown,2018
2712,Hush - Speak Up. Make Work Better,2016,Bengaluru,Information Technology,Enabling diversity of opinions in organizations,Unknown,Inflection Point Ventures,659205.0,Seed,2018
2713,Drivezy,2016,Bengaluru,Real Estate,Drivezy is India's largest vehicle sharing platform which helps people turn their vehicles into earning members of their family.,Unknown,Angel investors,100000000.0,Exit stage,2018
2714,Freyr Energy,2016,Hyderabad,Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",Unknown,"Alia Bhatt, IAN Fund, Social Alpha, Draper Richards Kaplan Foundation",1500000.0,Early stage,2018
2715,NIRAMAI Health Analytix,2016,Bengaluru,Consumer Staples,NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix.,Unknown,Venture Catalysts,6000000.0,Seed,2018
2716,CloudSEK,2016,Bengaluru,Information Technology,Cloudsek is an Infosec Risk assessment company which provides intelligence needed to tackle online threats.,Unknown,Inflection Point Ventures,2050860.0,Seed,2018
2717,Lendbox,2016,Delhi,Financials,Lendbox is India's leading peer-to-peer lending online lending platform.,Unknown,Venture Catalysts,878940.0,Seed,2018
2718,Verloop,2016,Bengaluru,Communication Services,Verloop is an automated customer support and engagement platform.,Unknown,Angel investors,3000000.0,Early stage,2018
2719,Flickstree,2016,Mumbai,Information Technology,"Flickstree is a smart video content aggregator, powered by Artificial Intelligence.",Unknown,Inflection Point Ventures,937536.0,Seed,2018
2720,Paymatrix,2016,Hyderabad,Real Estate,India's Leading Property Rent management platform,Unknown,Angel investors,100000.0,Seed,2018
2721,Idha Skin Clinic,2016,Bengaluru,Consumer Discretionary,Idha skin clinic jayanagar is dedicated to restore health and natural beauty to your skin.,Unknown,Venture Catalysts,73245.0,Seed,2018
2722,InCred,2016,Mumbai,Financials,InCred Finance is a mumbai-based non-banking financial company,Unknown,Venture Catalysts,41900000.0,Exit stage,2018
2723,Vedantu,2016,Bengaluru,Consumer Discretionary,Vedantu provides personalized LIVE Online Tutoring. Vedantu aims to democratize teaching by creating a marketplace of Teachers,Unknown,Venture Catalysts,11000000.0,Early stage,2018
2724,Sportido,2016,Noida,Consumer Discretionary,Sportido is a sports discovery app that helps you find people and places to play 700+ sports around you.,Unknown,Venture Catalysts,937536.0,Seed,2018
2725,Stelis Biopharma,2016,Bengaluru,Health Care,Stelis Biopharma is a vertically integrated biopharmaceutical company,Unknown,CIIE.CO,100000000.0,Early stage,2018
2726,Magicpin,2016,Gurugram,Consumer Discretionary,"Magicpin is a platform where users and merchants in a locality discover, interact, and transact.",Unknown,Venture Catalysts,20655090.0,Late stage,2018
2727,Try & Buy,2016,Delhi,Consumer Discretionary,Try & Buy,Unknown,Venture Catalysts,937536.0,Seed,2018
2728,MechMocha,2016,Bengaluru,Information Technology,Mech Mocha is a mobile gaming startup based in Bangalore working towards ‘Making India Play’ .,Unknown,Inflection Point Ventures,3530000.0,Early stage,2018
2729,Aye Finance,2016,Gurugram,Consumer Discretionary,Aye Finance provides financial services to micro and small businesses in Northern India.,Unknown,Venture Catalysts,1054728.0,Exit stage,2018
2730,Aldopay,2016,Chennai,Information Technology,Mobile Wallet Focusing on hassle free checkout via Finger Print & OTP.,Unknown,Inflection Point Ventures,200000.0,Seed,2018
2731,Detect Technologies,2016,Chennai,Information Technology,Completely automated remote control system.,Unknown,Inflection Point Ventures,3300000.0,Early stage,2018
2732,Signzy,2016,Bengaluru,Information Technology,Signzy are creating 'building blocks for a Digital Trust system.,Unknown,Inflection Point Ventures,3515760.0,Early stage,2018
2733,CashRich,2016,Mumbai,Information Technology,A Mumbai-based fin-tech startup,Unknown,Inflection Point Ventures,1000000.0,Seed,2018
2734,Cloudnine Hospitals,2016,Bengaluru,Consumer Discretionary,Cloudnine is an Indian chain of women and child care hospitals.,Unknown,Venture Catalysts,7800000.0,Exit stage,2018
2735,CropIn Technologies,2016,Bengaluru,Industrials,"To discover, develop and deliver innovative solution in Agtech Space",Unknown,Inflection Point Ventures,8496420.0,Early stage,2018
